WinMargin,average,linreg,naive,extr,ranfor,xgb,nn,lstm,tpot
32.0,4.0,0,0,0,1,1,0,0,0
5.0,11.0,1,1,0,0,1,0,0,1
20.0,8.1,0,0,0,0,0,1,0,1
-0.9999999999999996,14.0,1,1,1,0,0,1,1,0
9.0,8.1,0,0,0,0,0,0,0,1
11.0,7.9,1,0,1,1,1,1,1,0
26.0,17.1,0,0,1,1,0,0,1,1
17.0,6.0,0,0,1,1,0,0,0,1
17.0,10.8,0,0,1,1,0,0,0,0
21.0,8.1,0,0,0,0,0,1,1,1
12.0,4.8,1,0,0,0,1,0,0,1
-28.999999999999996,-9.099999999999998,0,1,0,0,0,1,0,0
-16.0,0.2999999999999998,0,1,1,0,0,1,1,0
1.0,-3.5,1,0,1,1,1,1,1,1
-10.0,-4.1,0,1,0,0,0,1,0,0
8.0,3.0,1,0,0,0,0,1,1,0
-9.0,-11.599999999999998,1,0,0,0,1,0,1,1
16.0,2.9,1,0,0,0,0,1,1,0
8.0,-1.1000000000000005,1,0,1,1,1,1,1,1
17.0,-0.5999999999999996,1,0,1,1,1,1,1,1
-11.0,-8.099999999999998,0,1,0,0,0,0,0,0
-1.9999999999999996,-6.099999999999999,1,0,0,0,1,0,1,1
9.0,-0.7000000000000006,1,0,1,1,1,1,1,1
-21.0,-13.0,0,1,1,1,0,1,0,0
-27.000000000000004,-8.3,0,1,0,0,0,1,0,0
14.0,14.3,0,1,0,1,1,1,1,0
14.0,-4.0,1,0,0,1,1,1,0,1
4.0,1.9,1,0,0,1,1,1,0,0
27.0,7.0,0,0,0,0,1,1,0,0
3.0,7.0,1,1,0,0,0,0,1,1
33.0,9.0,0,0,0,0,0,1,1,0
-1.9999999999999996,5.8,0,1,0,0,0,0,1,0
-10.0,-2.3999999999999995,0,1,0,0,1,1,0,0
-11.999999999999998,-2.8999999999999995,0,1,1,1,1,0,0,0
18.0,1.5,1,0,1,0,0,0,1,1
-7.0,2.0,1,1,0,0,0,0,0,0
3.0,9.1,0,1,0,0,0,0,0,0
32.0,6.2,1,0,1,1,1,1,0,1
33.0,6.0,0,0,1,1,1,1,1,1
5.0,6.0,1,1,0,0,0,0,0,0
12.0,9.2,0,0,0,1,0,1,0,0
11.0,8.0,0,0,0,0,0,0,0,0
-0.9999999999999996,7.0,0,1,1,0,0,0,1,0
11.0,9.0,0,0,0,0,0,1,0,0
-6.0,3.2,1,1,1,1,1,1,1,1
25.0,7.0,0,0,1,1,1,1,0,0
4.0,5.0,0,1,1,1,1,0,0,1
-3.9999999999999996,-2.1000000000000005,0,1,1,1,0,1,1,0
-13.000000000000002,-2.1000000000000005,0,1,1,0,0,0,0,0
12.0,-2.5,1,0,1,1,1,1,1,1
-3.9999999999999996,5.1,0,1,0,0,0,0,0,0
14.0,1.9,1,0,0,0,1,0,0,1
-0.9999999999999996,-5.2,1,0,0,1,1,1,1,1
-7.0,-6.099999999999999,0,1,1,1,0,0,1,0
7.0,4.1,0,0,0,0,0,1,0,1
-3.9999999999999996,7.0,1,1,1,1,1,0,1,1
4.0,13.100000000000001,1,1,0,1,1,0,0,0
8.0,4.9,1,0,0,0,1,1,0,0
14.0,0.2999999999999998,1,0,0,0,0,0,0,1
12.0,3.1,1,0,0,0,0,0,1,1
27.0,4.0,1,0,1,1,1,1,1,1
-6.0,7.3,1,1,1,1,1,1,1,1
31.0,11.0,0,0,0,0,0,1,0,0
27.0,9.0,0,0,1,1,0,0,1,0
19.0,11.400000000000002,0,0,0,1,0,1,1,1
15.0,-5.8,1,0,0,0,1,1,1,1
28.0,-2.1000000000000005,1,0,1,1,1,0,0,1
6.0,-6.099999999999999,1,0,0,0,0,1,0,1
24.0,-1.3999999999999995,1,0,0,0,0,0,0,1
38.0,10.8,1,0,1,1,1,1,1,0
9.0,7.0,0,0,1,0,0,0,1,0
-26.0,-6.099999999999999,0,1,1,1,1,1,1,0
-7.0,3.0,0,1,1,1,0,1,1,0
8.0,7.0,0,0,0,0,0,0,0,0
15.0,5.7,0,0,1,1,1,0,0,0
33.0,6.0,0,0,1,1,1,1,1,1
29.999999999999996,0.8999999999999999,1,0,0,0,1,1,1,1
-11.0,2.0,1,1,0,0,0,0,0,1
-15.000000000000002,5.1,1,1,1,1,0,1,1,0
14.0,1.9,1,0,0,0,0,1,0,0
-3.9999999999999996,4.8,0,1,1,1,0,0,0,0
-3.9999999999999996,3.1,1,1,1,1,1,1,1,1
13.0,3.3,0,0,0,0,1,1,0,0
12.0,3.1,0,0,0,0,1,0,0,0
-1.9999999999999996,-5.000000000000001,0,0,1,1,1,0,0,0
-15.000000000000002,9.399999999999999,1,1,0,1,0,0,1,1
8.0,9.0,1,1,0,0,0,1,0,1
36.0,6.699999999999999,1,0,0,0,0,1,1,0
7.0,9.0,1,1,1,1,1,1,1,1
-23.0,-5.3,0,1,0,1,1,0,1,0
-10.0,0.6000000000000001,0,1,1,1,1,1,0,1
-19.0,0.7000000000000002,1,1,0,1,1,0,1,1
